text,label
"GRUBU FATURA
Ataturk Mah Gazi BulvariNo",ORGANIZATION
10100 Kares,MONEY
3 Temmuz,TIME
Helin Kinay,PERSON
"Giinay İç Tasarim
Ataturk Mah Gazi BulvariNo",ORGANIZATION
00 TL,MONEY
"00 TL
GRANİT",MONEY
00 TL,MONEY
00 TL,MONEY
00 TL,MONEY
00 TL,MONEY
00 TL,MONEY
"00 TL
EPOKSİ",MONEY
00 TL,MONEY
"00 TL
ARATOPLAM",MONEY
5200.00 TL,MONEY
"915
TOPLAMFİYAT",MONEY
00 TL,MONEY
"Lore C5U™ door st amet consectetur adipiscing elit
Hesaa No",ORGANIZATION
465 7890 Curabit,MONEY
"Futons sed @umresd
Odeme Vades",ORGANIZATION
Temmuz 2030,TIME
098195 arcu Proms herdront,MONEY
