text,label
Capstone,ORG
Capstone,ORG
Capstone,ORG
Batuhan,GPE
2002436,DATE
Invoice Processing and Classification Project Date,ORG
OCR,ORG
Optical Character Recognition,ORG
OCR,ORG
OCR,ORG
at least 85%,PERCENT
GDPR,ORG
KVKK,ORG
2,CARDINAL
English,LANGUAGE
GDPR,ORG
3,CARDINAL
4,CARDINAL
under ten seconds,TIME
annual,DATE
no less than 99.5%,PERCENT
5,CARDINAL
ERP,ORG
1,CARDINAL
ISO/IEC 27001,ORG
2,CARDINAL
GDPR,ORG
KVKK,ORG
3,CARDINAL
OCR,ORG
85%,PERCENT
95%,PERCENT
4,CARDINAL
5,CARDINAL
1,CARDINAL
Tesseract OCR,ORG
BERT,ORG
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
1f,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
GDPR,ORG
KVKK,ORG
2,CARDINAL
OCR,ORG
3,CARDINAL
4,CARDINAL
5,CARDINAL
