level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,2,3,783,0,18,32,65.583008,—
5,1,1,1,3,2,225,165,1,3,83.521385,/
5,1,1,1,3,4,454,86,60,49,60.445808,sid
5,1,1,1,4,1,63,325,36,74,73.406143,Ü
5,1,1,1,4,5,601,240,16,23,82.512131,ve
5,1,1,1,5,1,31,430,11,11,86.348213,y
5,1,1,1,5,7,469,279,78,36,90.330444,çarak
5,1,1,1,6,5,423,331,52,25,74.253677,ve
5,1,1,1,6,6,492,326,46,30,80.598351,evd
5,1,1,1,6,7,577,291,31,18,93.900818,ve
5,1,1,1,8,4,204,472,42,46,83.991653,Bir
5,1,1,1,9,7,449,461,17,18,84.008247,N
5,1,1,1,9,8,498,426,84,41,81.270477,tanesi
5,1,1,1,10,1,48,564,47,32,65.619225,Ma
5,1,1,1,10,6,902,358,5,18,91.846878,\
5,1,1,1,11,4,391,518,60,31,90.239029,tekrar
5,1,1,1,11,6,515,505,47,12,79.07753,a
5,1,1,1,11,7,581,471,85,31,87.910492,susamla
5,1,1,1,11,9,861,411,5,23,60.08469,alr
5,1,1,1,11,11,1039,383,1,6,71.101166,)
5,1,1,1,13,1,16,720,6,21,63.481758,!
5,1,1,1,14,3,301,694,28,27,70.469124,öğre
5,1,1,1,16,1,776,771,8,1,87.524002,—
5,1,1,1,16,2,786,767,2,5,77.571762,v
5,1,1,1,16,4,1034,665,68,102,63.933281,pal
